tier,seed,final_entropy,ritual_strength,ritual_streak,algorithm,condition,schedule,curiosity,interval
A,0,0.4414636490626619,0.9,71,Qlearning,noncontingent,,,
A,1,0.5438390306271098,0.8666666666666667,111,Qlearning,noncontingent,,,
A,2,0.34588299927604566,0.7,75,Qlearning,noncontingent,,,
A,3,0.3930919996233464,0.9666666666666667,80,Qlearning,noncontingent,,,
A,4,0.40246071552831736,1.0,80,Qlearning,noncontingent,,,
A,5,0.7184188264306478,0.5333333333333333,100,Qlearning,noncontingent,,,
A,6,0.5587934750841722,0.6666666666666666,68,Qlearning,noncontingent,,,
A,7,0.6487706980648904,1.0,137,Qlearning,noncontingent,,,
A,0,0.21693055975227896,1.0,11772,Qlearning,contingent,,,
A,1,0.28015565763777117,1.0,11748,Qlearning,contingent,,,
A,2,0.23185259136853414,1.0,11789,Qlearning,contingent,,,
A,3,0.2907432586697975,1.0,11757,Qlearning,contingent,,,
A,4,0.258986885754927,1.0,11760,Qlearning,contingent,,,
A,5,0.31304198940341704,1.0,11810,Qlearning,contingent,,,
A,6,0.21452227588226305,1.0,11775,Qlearning,contingent,,,
A,7,0.3027855986711912,1.0,11702,Qlearning,contingent,,,
A,0,1.6845423603045522,0.4,16,DQN,noncontingent,,,
A,1,1.8452897185549442,0.43333333333333335,13,DQN,noncontingent,,,
A,2,1.4162966516994748,0.3,14,DQN,noncontingent,,,
A,3,1.7332748343131041,0.5,12,DQN,noncontingent,,,
A,4,1.7833041837911092,0.4,18,DQN,noncontingent,,,
A,5,1.7179503721740297,0.6,18,DQN,noncontingent,,,
A,6,1.6248424414488511,0.43333333333333335,11,DQN,noncontingent,,,
A,7,1.8683100361609821,0.3333333333333333,12,DQN,noncontingent,,,
A,0,0.23940290922131863,1.0,11758,DQN,contingent,,,
A,1,0.25968387045619146,1.0,11726,DQN,contingent,,,
A,2,0.2676541212497433,1.0,11864,DQN,contingent,,,
A,3,0.2611215107509354,1.0,11741,DQN,contingent,,,
A,4,0.3093387445193483,1.0,11706,DQN,contingent,,,
A,5,0.25752212791336626,1.0,11846,DQN,contingent,,,
A,6,0.2665684477102375,1.0,11819,DQN,contingent,,,
A,7,0.24343700159368192,1.0,11766,DQN,contingent,,,
A,0,0.30666450965740444,0.9333333333333333,47,PPO,noncontingent,,,
A,1,1.9347296158162106,0.4,8,PPO,noncontingent,,,
A,2,1.951532376322937,0.5,6,PPO,noncontingent,,,
A,3,1.9677161218181065,0.36666666666666664,9,PPO,noncontingent,,,
A,4,1.9777416619398793,0.43333333333333335,7,PPO,noncontingent,,,
A,5,1.36972116656063,0.6,10,PPO,noncontingent,,,
A,6,1.9736378509757189,0.36666666666666664,9,PPO,noncontingent,,,
A,7,1.975806224654379,0.36666666666666664,6,PPO,noncontingent,,,
A,0,0.043392906455556456,1.0,13045,PPO,contingent,,,
A,1,0.018165876933517643,1.0,13188,PPO,contingent,,,
A,2,0.07566633088647073,1.0,13056,PPO,contingent,,,
A,3,0.05248313129188211,1.0,13121,PPO,contingent,,,
A,4,0.018165876933517643,1.0,13073,PPO,contingent,,,
A,5,0.018165876933517643,1.0,13102,PPO,contingent,,,
A,6,0.054475844922315275,1.0,13124,PPO,contingent,,,
A,7,0.009082938466758821,1.0,13145,PPO,contingent,,,
A,0,1.982639867426568,0.3333333333333333,7,A2C,noncontingent,,,
A,1,1.9878382636182153,0.3,6,A2C,noncontingent,,,
A,2,1.9877654476178528,0.43333333333333335,6,A2C,noncontingent,,,
A,3,1.98710030118162,0.4,7,A2C,noncontingent,,,
A,4,1.9914741714277935,0.36666666666666664,6,A2C,noncontingent,,,
A,5,1.9900464052065039,0.4,8,A2C,noncontingent,,,
A,6,1.9904823417868855,0.36666666666666664,7,A2C,noncontingent,,,
A,7,1.9921182018881443,0.3,5,A2C,noncontingent,,,
A,0,1.984695910551008,1.0,3847,A2C,contingent,,,
A,1,1.985189588248088,1.0,3931,A2C,contingent,,,
A,2,1.9886574206147571,1.0,3742,A2C,contingent,,,
A,3,1.9715205185305855,1.0,4004,A2C,contingent,,,
A,4,1.993523558236447,1.0,3886,A2C,contingent,,,
A,5,1.9882652694384766,1.0,3803,A2C,contingent,,,
A,6,1.9853034740315358,1.0,3868,A2C,contingent,,,
A,7,1.9967923848664337,1.0,3802,A2C,contingent,,,
B,0,0.4414636490626619,0.9,71,Qlearning,,fixed,,
B,1,0.5438390306271098,0.8666666666666667,111,Qlearning,,fixed,,
B,2,0.34588299927604566,0.7,75,Qlearning,,fixed,,
B,3,0.3930919996233464,0.9666666666666667,80,Qlearning,,fixed,,
B,4,0.40246071552831736,1.0,80,Qlearning,,fixed,,
B,5,0.7184188264306478,0.5333333333333333,100,Qlearning,,fixed,,
B,6,0.5587934750841722,0.6666666666666666,68,Qlearning,,fixed,,
B,7,0.6487706980648904,1.0,137,Qlearning,,fixed,,
B,0,0.9687449486920368,1.0,51,Qlearning,,variable,,
B,1,0.8971436720352661,0.9666666666666667,62,Qlearning,,variable,,
B,2,0.9678297480076006,0.6333333333333333,102,Qlearning,,variable,,
B,3,0.9417606365862936,0.4666666666666667,82,Qlearning,,variable,,
B,4,1.1938760176374017,0.7333333333333333,77,Qlearning,,variable,,
B,5,0.9256641135133199,0.5666666666666667,68,Qlearning,,variable,,
B,6,0.783429892834793,0.8666666666666667,63,Qlearning,,variable,,
B,7,0.7883597770404972,0.6333333333333333,45,Qlearning,,variable,,
B,0,1.2004113287605822,0.8666666666666667,46,Qlearning,,random,,
B,1,0.7749078183853009,0.36666666666666664,52,Qlearning,,random,,
B,2,1.1539920428449821,0.6,66,Qlearning,,random,,
B,3,1.0527146388277717,0.9666666666666667,45,Qlearning,,random,,
B,4,0.756704696571784,0.36666666666666664,48,Qlearning,,random,,
B,5,0.9348542074995759,0.6666666666666666,47,Qlearning,,random,,
B,6,0.9944168434884822,0.5666666666666667,94,Qlearning,,random,,
B,7,1.3528716168173442,0.5,46,Qlearning,,random,,
B,0,0.30666450965740444,0.9333333333333333,47,PPO,,fixed,,
B,1,1.9347296158162106,0.4,8,PPO,,fixed,,
B,2,1.951532376322937,0.5,6,PPO,,fixed,,
B,3,1.9677161218181065,0.36666666666666664,9,PPO,,fixed,,
B,4,1.9777416619398793,0.43333333333333335,7,PPO,,fixed,,
B,5,1.36972116656063,0.6,10,PPO,,fixed,,
B,6,1.9736378509757189,0.36666666666666664,9,PPO,,fixed,,
B,7,1.975806224654379,0.36666666666666664,6,PPO,,fixed,,
B,0,1.9760970892109238,0.36666666666666664,5,PPO,,variable,,
B,1,1.9835140314122968,0.36666666666666664,6,PPO,,variable,,
B,2,0.9500877505282469,0.8,21,PPO,,variable,,
B,3,1.9691826963197385,0.36666666666666664,5,PPO,,variable,,
B,4,1.0979095484092425,0.5666666666666667,8,PPO,,variable,,
B,5,1.9933948799381285,0.3333333333333333,6,PPO,,variable,,
B,6,1.9915225546017656,0.36666666666666664,6,PPO,,variable,,
B,7,1.9720865641835736,0.3333333333333333,5,PPO,,variable,,
B,0,1.833226038501779,0.3333333333333333,6,PPO,,random,,
B,1,1.9635275155812377,0.3333333333333333,9,PPO,,random,,
B,2,1.9875595844148772,0.3333333333333333,6,PPO,,random,,
B,3,1.8661253391347217,0.3,6,PPO,,random,,
B,4,1.9878260478753815,0.36666666666666664,6,PPO,,random,,
B,5,1.93528984568613,0.5666666666666667,10,PPO,,random,,
B,6,1.4079702096566873,0.6666666666666666,12,PPO,,random,,
B,7,1.995231589723725,0.36666666666666664,6,PPO,,random,,
C,0,0.4414636490626619,0.9,71,Qlearning,,,False,
C,1,0.5438390306271098,0.8666666666666667,111,Qlearning,,,False,
C,2,0.34588299927604566,0.7,75,Qlearning,,,False,
C,3,0.3930919996233464,0.9666666666666667,80,Qlearning,,,False,
C,4,0.40246071552831736,1.0,80,Qlearning,,,False,
C,5,0.7184188264306478,0.5333333333333333,100,Qlearning,,,False,
